 phase int32_tca9f58c8  , wave index 3241 diff: 37, cycles: 4396
 phase int32_tccf817ec  , wave index 3279 diff: 38, cycles: 4396
 phase int32_tcf50d710  , wave index 3317 diff: 38, cycles: 4396
 phase int32_td1a99634  , wave index 3354 diff: 37, cycles: 4396
 phase int32_td4025558  , wave index 3392 diff: 38, cycles: 4396
 phase int32_td65b147c  , wave index 3429 diff: 37, cycles: 4396
 phase int32_td8b3d3a0  , wave index 3467 diff: 38, cycles: 4396
 phase int32_tdb0c92c4  , wave index 3504 diff: 37, cycles: 4396
 phase int32_tdd6551e8  , wave index 3542 diff: 38, cycles: 4396
 phase int32_tdfbe110c  , wave index 3579 diff: 37, cycles: 4396
 phase int32_te216d030  , wave index 3617 diff: 38, cycles: 4396
 phase int32_te46f8f54  , wave index 3654 diff: 37, cycles: 4396
 phase int32_te6c84e78  , wave index 3692 diff: 38, cycles: 4396
 phase int32_te9210d9c  , wave index 3730 diff: 38, cycles: 4396
 phase int32_teb79ccc0  , wave index 3767 diff: 37, cycles: 4396
 phase int32_tedd28be4  , wave index 3805 diff: 38, cycles: 4396
 phase int32_tf02b4b08  , wave index 3842 diff: 37, cycles: 4396
 phase int32_tf2840a2c  , wave index 3880 diff: 38, cycles: 4396
 phase int32_tf4dcc950  , wave index 3917 diff: 37, cycles: 4396
 phase int32_tf7358874  , wave index 3955 diff: 38, cycles: 4396
 phase int32_tf98e4798  , wave index 3992 diff: 37, cycles: 4396
 phase int32_tfbe706bc  , wave index 4030 diff: 38, cycles: 4396
 phase int32_tfe3fc5e0  , wave index 4067 diff: 37, cycles: 4396
 phase int32_t988504    , wave index 9 diff: -4058, cycles: 4397
 phase int32_t2f14428   , wave index 47 diff: 38, cycles: 4397
 phase int32_t54a034c   , wave index 84 diff: 37, cycles: 4397
 phase int32_t7a2c270   , wave index 122 diff: 38, cycles: 4397
 phase int32_t9fb8194   , wave index 159 diff: 37, cycles: 4397
 phase int32_tc5440b8   , wave index 197 diff: 38, cycles: 4397
 phase int32_teacffdc   , wave index 234 diff: 37, cycles: 4397
 phase int32_t1105bf00  , wave index 272 diff: 38, cycles: 4397
 phase int32_t135e7e24  , wave index 309 diff: 37, cycles: 4397
 phase int32_t15b73d48  , wave index 347 diff: 38, cycles: 4397
 phase int32_t180ffc6c  , wave index 384 diff: 37, cycles: 4397
 phase int32_t1a68bb90  , wave index 422 diff: 38, cycles: 4397
 phase int32_t1cc17ab4  , wave index 460 diff: 38, cycles: 4397
 phase int32_t1f1a39d8  , wave index 497 diff: 37, cycles: 4397
 phase int32_t2172f8fc  , wave index 535 diff: 38, cycles: 4397
 phase int32_t23cbb820  , wave index 572 diff: 37, cycles: 4397
 phase int32_t26247744  , wave index 610 diff: 38, cycles: 4397
 phase int32_t287d3668  , wave index 647 diff: 37, cycles: 4397
 phase int32_t2ad5f58c  , wave index 685 diff: 38, cycles: 4397
 phase int32_t2d2eb4b0  , wave index 722 diff: 37, cycles: 4397
 phase int32_t2f8773d4  , wave index 760 diff: 38, cycles: 4397
 phase int32_t31e032f8  , wave index 798 diff: 38, cycles: 4397
 phase int32_t3438f21c  , wave index 835 diff: 37, cycles: 4397
 phase int32_t3691b140  , wave index 873 diff: 38, cycles: 4397
 phase int32_t38ea7064  , wave index 910 diff: 37, cycles: 4397
 phase int32_t3b432f88  , wave index 948 diff: 38, cycles: 4397
 phase int32_t3d9beeac  , wave index 985 diff: 37, cycles: 4397
 phase int32_t3ff4add0  , wave index 1023 diff: 38, cycles: 4397
 phase int32_t424d6cf4  , wave index 1060 diff: 37, cycles: 4397
 phase int32_t44a62c18  , wave index 1098 diff: 38, cycles: 4397
 phase int32_t46feeb3c  , wave index 1135 diff: 37, cycles: 4397
 phase int32_t4957aa60  , wave index 1173 diff: 38, cycles: 4397
 phase int32_t4bb06984  , wave index 1211 diff: 38, cycles: 4397
 phase int32_t4e0928a8  , wave index 1248 diff: 37, cycles: 4397
 phase int32_t5061e7cc  , wave index 1286 diff: 38, cycles: 4397
 phase int32_t52baa6f0  , wave index 1323 diff: 37, cycles: 4397
 phase int32_t55136614  , wave index 1361 diff: 38, cycles: 4397
 phase int32_t576c2538  , wave index 1398 diff: 37, cycles: 4397
 phase int32_t59c4e45c  , wave index 1436 diff: 38, cycles: 4397
 phase int32_t5c1da380  , wave index 1473 diff: 37, cycles: 4397
 phase int32_t5e7662a4  , wave index 1511 diff: 38, cycles: 4397
 phase int32_t60cf21c8  , wave index 1548 diff: 37, cycles: 4397
 phase int32_t6327e0ec  , wave index 1586 diff: 38, cycles: 4397
 phase int32_t6580a010  , wave index 1624 diff: 38, cycles: 4397
 phase int32_t67d95f34  , wave index 1661 diff: 37, cycles: 4397
 phase int32_t6a321e58  , wave index 1699 diff: 38, cycles: 4397
 phase int32_t6c8add7c  , wave index 1736 diff: 37, cycles: 4397
 phase int32_t6ee39ca0  , wave index 1774 diff: 38, cycles: 4397
 phase int32_t713c5bc4  , wave index 1811 diff: 37, cycles: 4397
 phase int32_t73951ae8  , wave index 1849 diff: 38, cycles: 4397
 phase int32_t75edda0c  , wave index 1886 diff: 37, cycles: 4397
 phase int32_t78469930  , wave index 1924 diff: 38, cycles: 4397
 phase int32_t7a9f5854  , wave index 1961 diff: 37, cycles: 4397
 phase int32_t7cf81778  , wave index 1999 diff: 38, cycles: 4397
 phase int32_t7f50d69c  , wave index 2037 diff: 38, cycles: 4397
 phase int32_t81a995c0  , wave index 2074 diff: 37, cycles: 4397
 phase int32_t840254e4  , wave index 2112 diff: 38, cycles: 4397
 phase int32_t865b1408  , wave index 2149 diff: 37, cycles: 4397
 phase int32_t88b3d32c  , wave index 2187 diff: 38, cycles: 4397
 phase int32_t8b0c9250  , wave index 2224 diff: 37, cycles: 4397
 phase int32_t8d655174  , wave index 2262 diff: 38, cycles: 4397
 phase int32_t8fbe1098  , wave index 2299 diff: 37, cycles: 4397
 phase int32_t9216cfbc  , wave index 2337 diff: 38, cycles: 4397
 phase int32_t946f8ee0  , wave index 2374 diff: 37, cycles: 4397
 phase int32_t96c84e04  , wave index 2412 diff: 38, cycles: 4397
 phase int32_t99210d28  , wave index 2450 diff: 38, cycles: 4397
 phase int32_t9b79cc4c  , wave index 2487 diff: 37, cycles: 4397
 phase int32_t9dd28b70  , wave index 2525 diff: 38, cycles: 4397
 phase int32_ta02b4a94  , wave index 2562 diff: 37, cycles: 4397
 phase int32_ta28409b8  , wave index 2600 diff: 38, cycles: 4397
 phase int32_ta4dcc8dc  , wave index 2637 diff: 37, cycles: 4397
 phase int32_ta7358800  , wave index 2675 diff: 38, cycles: 4397
 phase int32_ta98e4724  , wave index 2712 diff: 37, cycles: 4397
 phase int32_tabe70648  , wave index 2750 diff: 38, cycles: 4397
 phase int32_tae3fc56c  , wave index 2787 diff: 37, cycles: 4397
 phase int32_tb0988490  , wave index 2825 diff: 38, cycles: 4397
 phase int32_tb2f143b4  , wave index 2863 diff: 38, cycles: 4397
 phase int32_tb54a02d8  , wave index 2900 diff: 37, cycles: 4397
