
1075, 2948	644
1076, 3060	660
1077, 3172	676
1078, 3284	692
1079, 3364	708
1080, 3444	724
1081, 3556	788
1082, 3716	788
1083, 3876	788
1084, 4036	788
1085, 101	788
1086, 261	788
1087, 357	788
1088, 469	852
1089, 517	868
1090, 565	884
1091, 613	900
1092, 661	916
1093, 709	932
1094, 757	948
1095, 981	1028
1096, 1029	1028
1097, 1077	1028
1098, 1125	1028
1099, 1173	1028
1100, 1221	1028
1101, 1269	1028
1102, 1317	1028
1103, 1365	1028
1104, 1365	1092
1105, 1701	1108
1106, 2005	1124
1107, 2341	1140
1108, 2629	1204
1109, 2629	1268
1110, 2933	1284
1111, 3253	1300
1112, 3253	1364
1113, 3477	1380
1114, 3781	1396
1115, 3781	1460
1116, 4005	1476
1117, 150	1492
1118, 374	1556
1119, 422	1556
1120, 470	1556
1121, 518	1556
1122, 566	1556
1123, 614	1556
1124, 662	1556
1125, 710	1556
1126, 758	1556
1127, 1062	1620
1128, 1126	1636
1129, 1190	1652
1130, 1366	1716
1131, 1542	1732
1132, 1718	1748
1133, 1894	1764
1134, 2070	1780
1135, 2246	1796
1136, 2406	1812
1137, 2598	1828
1138, 2774	1844
1139, 3126	1908
1140, 3478	1924
1141, 3846	1940
1142, 4022	2004
1143, 151	2036
1144, 375	2052
1145, 583	2068
1146, 807	2084
1147, 1031	2100
1148, 1207	2164
1149, 1383	2180
1150, 1559	2196
1151, 1735	2212
1152, 1943	2228
1153, 2119	2292
1154, 2327	2308
1155, 2551	2324
1156, 2775	2340
1157, 2951	2404
1158, 3175	2420
1159, 3367	2484
1160, 3511	2500
1161, 3655	2516
1162, 3895	2580
1163, 3911	2644
1164, 4023	2660
1165, 40	2676
1166, 216	2692
1167, 424	2708
1168, 568	2724
1169, 712	2740
1170, 712	2804
1171, 872	2820
1172, 1032	2836
1173, 1224	2852
1174, 1416	2868
1175, 1608	2884
1176, 1768	2980
1177, 1912	2996
1178, 2104	3060
1179, 2152	3060
1180, 2200	3060
1181, 2248	3060
1182, 2296	3060
1183, 2344	3060
1184, 2392	3060
1185, 2440	3060
1186, 2488	3060
1187, 2664	3124
1188, 2808	3124
1189, 2968	3124
1190, 3016	3188
1191, 3304	3204
1192, 3592	3220
1193, 3880	3236
1194, 73	3252
1195, 361	3268
1196, 649	3284
1197, 937	3300
1198, 1113	3364
1199, 1161	3364
1200, 1209	3364
1201, 1257	3364
1202, 1305	3364
1203, 1353	3364
1204, 1401	3364
1205, 1449	3364
1206, 1497	3364
1207, 1721	3428
1208, 1785	3428
1209, 1881	3492
1210, 2185	3556
1211, 2233	3620
1212, 2457	3684
1213, 2665	3748
1214, 2713	3748
1215, 2761	3748
1216, 2809	3748
1217, 2857	3748
1218, 2905	3748
1219, 2953	3748
1220, 3001	3748
1221, 3049	3748
1222, 3113	3812
1223, 3161	3812
1224, 3209	3812
1225, 3257	3812
1226, 3305	3812
1227, 3353	3812
1228, 3401	3812
1229, 3449	3812
1230, 3497	3812
1231, 3545	3876
1232, 3593	3876
1233, 3641	3876
1234, 3689	3876
1235, 3737	3876
1236, 3785	3876
1237, 3833	3876
1238, 3881	3876
1239, 3929	3876
1240, 4025	3940
1241, 4073	3940
1242, 4121	3940
1243, 74	3940
1244, 122	3940
1245, 170	3940
1246, 218	3940
