
378, 2b	4e,4e	Gen_KeyRange
379,  b	20,1c	Gen_ModEnv2FilterFc
380, 11	f4,1	Gen_Pan
381, 16	8c,fc	Gen_ModLFOFreq
382, 30	5e,1	Gen_Attenuation
383, 33	fc,ff	Gen_CoarseTune
384, 29	9f,0	Gen_Instrument
385, 2b	4f,4f	Gen_KeyRange
386,  b	20,1c	Gen_ModEnv2FilterFc
387, 11	d4,fe	Gen_Pan
388, 22	e2,a	Gen_VolEnvAttack
389, 26	6e,7	Gen_VolEnvRelease
390, 30	64,0	Gen_Attenuation
391, 33	f5,ff	Gen_CoarseTune
392, 29	ce,0	Gen_Instrument
393, 2b	4f,4f	Gen_KeyRange
394,  b	20,1c	Gen_ModEnv2FilterFc
395, 11	2c,1	Gen_Pan
396, 22	e2,a	Gen_VolEnvAttack
397, 26	6e,7	Gen_VolEnvRelease
398, 30	64,0	Gen_Attenuation
399, 33	fa,ff	Gen_CoarseTune
400, 29	ce,0	Gen_Instrument
401, 2b	50,50	Gen_KeyRange
402,  b	fa,0	Gen_ModEnv2FilterFc
403,  f	46,0	Gen_ChorusSend
404, 33	f6,ff	Gen_CoarseTune
405, 34	32,0	Gen_FineTune
406, 29	c9,0	Gen_Instrument
407, 2b	51,51	Gen_KeyRange
408, 22	50,fb	Gen_VolEnvAttack
409, 30	64,0	Gen_Attenuation
410, 33	eb,ff	Gen_CoarseTune
411, 29	2a,1	Gen_Instrument
412, 2b	52,52	Gen_KeyRange
413, 33	f5,ff	Gen_CoarseTune
414, 29	14,1	Gen_Instrument
415, 2b	53,53	Gen_KeyRange
416,  b	20,1c	Gen_ModEnv2FilterFc
417, 11	f4,1	Gen_Pan
418, 30	c8,0	Gen_Attenuation
419, 33	f4,ff	Gen_CoarseTune
420, 34	ce,ff	Gen_FineTune
421, 29	a0,0	Gen_Instrument
422, 2b	53,53	Gen_KeyRange
423,  b	20,1c	Gen_ModEnv2FilterFc
424, 11	c,fe	Gen_Pan
425, 30	c8,0	Gen_Attenuation
